request_id,jira_key,workflow_id,request_type,requestor_group,priority,age_days,status
REQ-001,OPS-6201,AWM-003,Ad hoc pull,Risk controls,Medium,36,Backlog
REQ-002,OPS-6202,AWM-023,Ad hoc pull,Technology,Medium,9,In progress
REQ-003,OPS-6203,AWM-024,Definition question,Client service,Low,38,Backlog
REQ-004,OPS-6204,AWM-019,Definition question,Operations leadership,Medium,17,Waiting on owner
REQ-005,OPS-6205,AWM-037,Dashboard change,Operations leadership,Medium,37,In progress
REQ-006,OPS-6206,AWM-007,New metric,Technology,Medium,31,Ready for release
REQ-007,OPS-6207,AWM-034,Access request,Front office,Medium,25,Backlog
REQ-008,OPS-6208,AWM-036,Ad hoc pull,Operations leadership,Medium,32,Backlog
REQ-009,OPS-6209,AWM-017,New metric,Risk controls,Low,29,Waiting on owner
REQ-010,OPS-6210,AWM-008,New metric,Technology,Medium,13,In progress
REQ-011,OPS-6211,AWM-027,Dashboard change,Technology,Medium,3,In progress
REQ-012,OPS-6212,AWM-022,Access request,Front office,Medium,22,In progress
REQ-013,OPS-6213,AWM-022,Access request,Front office,Medium,26,Ready for release
REQ-014,OPS-6214,AWM-014,Access request,Operations leadership,High,10,Backlog
REQ-015,OPS-6215,AWM-008,Dashboard change,Technology,Medium,28,Backlog
REQ-016,OPS-6216,AWM-023,Ad hoc pull,Risk controls,Medium,33,Waiting on owner
REQ-017,OPS-6217,AWM-017,New metric,Front office,Medium,5,Ready for release
REQ-018,OPS-6218,AWM-033,Dashboard change,Client service,Medium,27,In progress
REQ-019,OPS-6219,AWM-035,Definition question,Operations leadership,Medium,15,Ready for release
REQ-020,OPS-6220,AWM-008,New metric,Technology,Medium,1,In progress
REQ-021,OPS-6221,AWM-013,Dashboard change,Front office,Medium,18,Ready for release
REQ-022,OPS-6222,AWM-016,Dashboard change,Risk controls,Low,12,In progress
REQ-023,OPS-6223,AWM-018,Dashboard change,Risk controls,Low,35,Backlog
REQ-024,OPS-6224,AWM-007,Access request,Client service,Medium,25,Ready for release
REQ-025,OPS-6225,AWM-005,Definition question,Technology,High,18,Ready for release
REQ-026,OPS-6226,AWM-029,Access request,Operations leadership,Medium,8,Waiting on owner
REQ-027,OPS-6227,AWM-040,Dashboard change,Front office,High,26,In progress
