candidate_id,jira_key,workflow_id,workflow,business_line,manual_hours_week,repeatability_pct,data_readiness_pct,downstream_users,build_effort_hours,automation_fit,value_score,recommendation
AUTO-030,AUTO-8130,AWM-030,Client reference data update,Client Reporting,136.4,86,79,369,33,0.44,115.2,Pilot automation
AUTO-019,AUTO-8119,AWM-019,Mandate closure checklist,Client Reporting,136.0,64,82,102,37,0.59,106.2,Pilot automation
AUTO-033,AUTO-8133,AWM-033,Alternatives subscription packet,Alternatives Operations,158.0,89,79,45,91,0.61,105.9,Pilot automation
AUTO-028,AUTO-8128,AWM-028,Performance return restatement,Alternatives Operations,117.3,98,79,359,77,0.77,105.0,Pilot automation
AUTO-041,AUTO-8141,AWM-041,Custody account mapping,Institutional Asset Management,150.8,76,78,257,167,0.85,101.6,Pilot automation
AUTO-024,AUTO-8124,AWM-024,Cash movement approval,Managed Accounts,113.9,69,83,231,53,0.72,101.5,Pilot automation
AUTO-022,AUTO-8122,AWM-022,Fee schedule configuration,Private Wealth,124.3,95,83,237,156,0.73,100.9,Pilot automation
AUTO-004,AUTO-8104,AWM-004,Model portfolio rebalance approval,Alternatives Operations,113.5,70,79,452,58,0.41,100.2,Pilot automation
AUTO-015,AUTO-8115,AWM-015,Portfolio reporting entitlement,Client Reporting,85.7,80,84,441,56,0.71,96.1,Pilot automation
AUTO-017,AUTO-8117,AWM-017,New account onboarding,Private Wealth,131.9,70,78,69,82,0.53,93.8,Pilot automation
AUTO-025,AUTO-8125,AWM-025,Investment guideline setup,Institutional Asset Management,90.0,91,83,339,110,0.59,92.8,Pilot automation
AUTO-035,AUTO-8135,AWM-035,Fee schedule configuration,Institutional Asset Management,72.8,94,83,473,73,0.66,92.3,Pilot automation
AUTO-008,AUTO-8108,AWM-008,Quarterly statement preparation,Private Wealth,97.7,76,79,268,56,0.49,92.0,Pilot automation
AUTO-029,AUTO-8129,AWM-029,Advisor book transition,Institutional Asset Management,96.5,92,80,224,83,0.77,91.6,Pilot automation
AUTO-006,AUTO-8106,AWM-006,Tax document exception review,Client Reporting,72.7,89,83,419,67,0.38,91.0,Pilot automation
AUTO-011,AUTO-8111,AWM-011,Alternatives subscription packet,Client Reporting,77.5,94,79,414,81,0.86,87.7,Pilot automation
